0x6e1  ۡ     ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
0x6e2  ۢ     ARABIC SMALL HIGH MEEM ISOLATED FORM
0x6e3  ۣ     ARABIC SMALL LOW SEEN
0x6e4  ۤ     ARABIC SMALL HIGH MADDA
0x6e5  ۥ     ARABIC SMALL WAW
0x6e6  ۦ     ARABIC SMALL YEH
0x6e7  ۧ     ARABIC SMALL HIGH YEH
0x6e8  ۨ     ARABIC SMALL HIGH NOON
0x6e9  ۩     ARABIC PLACE OF SAJDAH
0x6ea  ۪     ARABIC EMPTY CENTRE LOW STOP
0x6eb  ۫     ARABIC EMPTY CENTRE HIGH STOP
0x6ec  ۬     ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
0x6ed  ۭ     ARABIC SMALL LOW MEEM
0x6ee  ۮ     ARABIC LETTER DAL WITH INVERTED V
0x6ef  ۯ     ARABIC LETTER REH WITH INVERTED V
0x6f0  ۰     EXTENDED ARABIC-INDIC DIGIT ZERO
0x6f1  ۱     EXTENDED ARABIC-INDIC DIGIT ONE
0x6f2  ۲     EXTENDED ARABIC-INDIC DIGIT TWO
0x6f3  ۳     EXTENDED ARABIC-INDIC DIGIT THREE
0x6f4  ۴     EXTENDED ARABIC-INDIC DIGIT FOUR
0x6f5  ۵     EXTENDED ARABIC-INDIC DIGIT FIVE
0x6f6  ۶     EXTENDED ARABIC-INDIC DIGIT SIX
0x6f7  ۷     EXTENDED ARABIC-INDIC DIGIT SEVEN
0x6f8  ۸     EXTENDED ARABIC-INDIC DIGIT EIGHT
0x6f9  ۹     EXTENDED ARABIC-INDIC DIGIT NINE
0x6fa  ۺ     ARABIC LETTER SHEEN WITH DOT BELOW
0x6fb  ۻ     ARABIC LETTER DAD WITH DOT BELOW
0x6fc  ۼ     ARABIC LETTER GHAIN WITH DOT BELOW
0x6fd  ۽     ARABIC SIGN SINDHI AMPERSAND
0x6fe  ۾     ARABIC SIGN SINDHI POSTPOSITION MEN
0x6ff  ۿ     ARABIC LETTER HEH WITH INVERTED V
